,village_name,district_name,population
352,Čierne Pole,Michalovce,355
353,Čierny Balog,Brezno,5090
354,Čierny Brod,Galanta,1645
355,Čierny Potok,Rimavská Sobota,130
356,Čifáre,Nitra,591
357,Čiližská Radvaň,Dunajská Streda,1169
358,Čimhová,Tvrdošín,679
359,Čirč,Stará Ľubovňa,1321
360,Číž,Rimavská Sobota,682
361,Čižatice,Košice-okolie,411
362,Čoltovo,Rožňava,479
363,Čremošné,Turčianske Teplice,82
364,Čučma,Rožňava,609
365,Čukalovce,Snina,160
366,Ďačov,Sabinov,731
367,Dačov Lom,Veľký Krtíš,414
368,Daletice,Sabinov,97
369,Danišovce,Spišská Nová Ves,567
370,Ďanová,Martin,562
371,Ďapalovce,Vranov nad Topľou,444
372,Dargov,Trebišov,596
373,Davidov,Vranov nad Topľou,800
374,Debraď,Košice-okolie,402
375,Dedačov,Humenné,159
376,Dedina Mládeže,Komárno,448
377,Dedinka,Nové Zámky,670
378,Dedinky,Rožňava,239
379,Dechtice,Trnava,1837
380,Dekýš,Banská Štiavnica,192
381,Demandice,Levice,973
382,Demänovská Dolina,Liptovský Mikuláš,314
383,Demjata,Prešov,1092
384,Detrík,Vranov nad Topľou,57
385,Detva,Detva,14545
386,Detvianska Huta,Detva,677
387,Devičany,Levice,380
388,Devičie,Krupina,299
389,Dežerice,Bánovce nad Bebravou,1018
390,Diakovce,Šaľa,2291
391,Diviacka Nová Ves,Prievidza,1801
392,Diviaky nad Nitricou,Prievidza,1743
393,Divín,Lučenec,2073
394,Divinka,Žilina,1030
395,Dlhá,Trnava,444
396,Dlhá nad Kysucou,Čadca,612
397,Dlhá nad Oravou,Dolný Kubín,1438
398,Dlhá nad Váhom,Šaľa,901
399,Dlhá Ves,Rožňava,534
400,Dlhé Klčovo,Vranov nad Topľou,1393
401,Dlhé nad Cirochou,Snina,1921
402,Dlhé Pole,Žilina,1898
403,Dlhé Stráže,Levoča,596
404,Dlhoňa,Svidník,92
405,Dlžín,Prievidza,146
406,Dobrá,Trebišov,491
407,Dobrá Voda,Trnava,790
408,Dobroč,Brezno,607
409,Dobroč,Lučenec,607
410,Dobrohošť,Dunajská Streda,515
411,Dobšiná,Rožňava,5685
412,Dohňany,Púchov,1868
413,Dojč,Senica,1270
414,Doľany,Levoča,778
415,Doľany,Pezinok,1066
416,Dolinka,Veľký Krtíš,493
417,Dolná Breznica,Púchov,998
418,Dolná Krupá,Trnava,2383
419,Dolná Lehota,Brezno,721
420,Dolná Mariková,Považská Bystrica,1428
421,Dolná Mičiná,Banská Bystrica,435
422,Dolná Poruba,Trenčín,799
423,Dolná Seč,Levice,517
424,Dolná Streda,Galanta,1623
425,Dolná Strehová,Veľký Krtíš,1038
426,Dolná Súča,Trenčín,3080
427,Dolná Tižina,Žilina,1432
428,Dolná Trnávka,Žiar nad Hronom,339
429,Dolná Ves,Žiar nad Hronom,226
430,Dolná Ždaňa,Žiar nad Hronom,877
431,Dolné Dubové,Trnava,737
432,Dolné Hámre,Žarnovica,2165
433,Dolné Kočkovce,Púchov,1218
434,Dolné Lefantovce,Nitra,703
435,Dolné Lovčice,Trnava,752
436,Dolné Mladonice,Krupina,128
437,Dolné Naštice,Bánovce nad Bebravou,574
438,Dolné Obdokovce,Nitra,1184
439,Dolné Orešany,Trnava,1345
440,Dolné Otrokovce,Hlohovec,390
441,Dolné Plachtince,Veľký Krtíš,625
442,Dolné Saliby,Galanta,2012
443,Dolné Semerovce,Levice,557
444,Dolné Srnie,Nové Mesto nad Váhom,987
445,Dolné Strháre,Veľký Krtíš,191
446,Dolné Trhovište,Hlohovec,651
447,Dolné Vestenice,Prievidza,2560
448,Dolné Zahorany,Rimavská Sobota,182
449,Dolné Zelenice,Hlohovec,590
450,Dolný Badín,Krupina,248
451,Dolný Bar,Dunajská Streda,783
452,Dolný Harmanec,Banská Bystrica,263
453,Dolný Hričov,Žilina,1618
454,Dolný Chotár,Galanta,378
455,Dolný Kalník,Martin,293
456,Dolný Kubín,Dolný Kubín,18665
457,Dolný Lieskov,Považská Bystrica,836
458,Dolný Lopašov,Piešťany,964
459,Dolný Ohaj,Nové Zámky,1547
460,Dolný Pial,Levice,917
461,Dolný Smokovec,Poprad,759
462,Dolný Štál,Dunajská Streda,1896
463,Dolný Vadičov,Kysucké Nové Mesto,482
464,Domadice,Levice,235
465,Domaníky,Krupina,190
466,Domaniža,Považská Bystrica,1631
467,Domaňovce,Levoča,926
468,Donovaly,Banská Bystrica,255
469,Dovalovo,Liptovský Mikuláš,1002
470,Drábsko,Brezno,194
471,Drahňov,Michalovce,1558
472,Drahovce,Piešťany,2575
473,Dravce,Levoča,834
474,Dražice,Rimavská Sobota,274
475,Dražkovce,Martin,1060
476,Drážovce,Krupina,134
477,Drienčany,Rimavská Sobota,242
478,Drienica,Sabinov,753
479,Drienov,Prešov,2242
480,Drienovec,Košice-okolie,2363
481,Drienovo,Krupina,109
482,Drienovská Nová Ves,Prešov,834
483,Drietoma,Trenčín,2271
484,Drňa,Rimavská Sobota,213
485,Drnava,Rožňava,713
486,Drnava,Veľký Krtíš,713
487,Družstevná pri Hornáde,Košice-okolie,2813
488,Drženice,Levice,378
489,Držkovce,Revúca,577
490,Ďubákovo,Poltár,82
491,Dubinné,Bardejov,352
492,Dubnica nad Váhom,Ilava,23550
493,Dubník,Nové Zámky,1606
494,Dubno,Rimavská Sobota,157
495,Dubodiel,Trenčín,954
496,Dubová,Svidník,210
497,Dubová,Pezinok,1128
498,Dubovany,Piešťany,1045
499,Dubovce,Skalica,622
500,Dubové,Turčianske Teplice,705
501,Dubové,Zvolen,298
502,Dubovec,Rimavská Sobota,533
503,Dubovica,Sabinov,1457
504,Dúbrava,Liptovský Mikuláš,1219
505,Dúbrava,Levoča,313
506,Dúbrava,Snina,220
507,Dúbravica,Banská Bystrica,420
508,Dúbravka,Michalovce,682
509,Dúbravy,Detva,949
510,Ducové,Piešťany,459
511,Dudince,Krupina,1395
512,Dukovce,Svidník,278
513,Dulov,Ilava,925
514,Dulova Ves,Prešov,1380
515,Dulovce,Komárno,1685
516,Dulovo,Rimavská Sobota,261
517,Dunajov,Čadca,1158
518,Dunajská Lužná,Senec,7117
519,Dunajská Streda,Dunajská Streda,22684
520,Dunajský Klátov,Dunajská Streda,716
521,Duplín,Stropkov,545
522,Ďurčiná,Žilina,1098
523,Ďurďoš,Vranov nad Topľou,259
524,Ďurďošík,Košice-okolie,652
525,Ďurďové,Považská Bystrica,144
526,Ďurkov,Košice-okolie,1905
527,Ďurkovce,Veľký Krtíš,130
528,Dvorany nad Nitrou,Topoľčany,785
529,Dvorec,Bánovce nad Bebravou,442
530,Dvorianky,Trebišov,664
531,Dvorníky,Košice-okolie,2063
532,Dvorníky,Hlohovec,2063
533,Dvorníky,Krupina,2063
534,Dvory nad Žitavou,Nové Zámky,5044
535,Egreš,Trebišov,487
536,Eliášovce,Dunajská Streda,2239
537,Fačkov,Žilina,641
538,Falkušovce,Michalovce,657
539,Farná,Levice,1345
540,Fekišovce,Sobrance,309
541,Figa,Rimavská Sobota,459
542,Fijaš,Svidník,150
543,Fiľakovo,Lučenec,10568
544,Fiľakovské Kováče,Lučenec,924
545,Fintice,Prešov,2115
546,Folkušová,Martin,144
547,Forbasy,Stará Ľubovňa,456
548,Frička,Bardejov,342
549,Fričkovce,Bardejov,735
550,Fričovce,Prešov,1152
551,Fulianka,Prešov,385
552,Gabčíkovo,Dunajská Streda,5473
553,Gaboltov,Bardejov,479
554,Gajary,Malacky,3046
555,Galanta,Galanta,14990
556,Galovany,Liptovský Mikuláš,310
557,Gáň,Galanta,856
558,Gánovce,Poprad,1397
559,Gbeľany,Žilina,1425
560,Gbelce,Nové Zámky,2156
561,Gbely,Skalica,5073
562,Geča,Košice-okolie,1829
563,Gelnica,Gelnica,6047
564,Gemer,Revúca,898
565,Gemerček,Rimavská Sobota,94
566,Gemerská Hôrka,Rožňava,1305
567,Gemerská Panica,Rožňava,619
568,Gemerská Poloma,Rožňava,2003
569,Gemerská Ves,Revúca,1005
570,Gemerské Dechtáre,Rimavská Sobota,439
571,Gemerské Michalovce,Rimavská Sobota,92
572,Gemerské Teplice,Revúca,362
573,Gemerský Jablonec,Rimavská Sobota,704
574,Gemerský Sad,Revúca,300
575,Geraltov,Prešov,121
576,Gerlachov,Poprad,852
577,Gerlachov,Bardejov,1069
578,Giglovce,Vranov nad Topľou,140
579,Giraltovce,Svidník,4089
580,Girovce,Vranov nad Topľou,56
581,Glabušovce,Veľký Krtíš,121
582,Gočaltovo,Rožňava,232
583,Gočovo,Rožňava,331
584,Golianovo,Nitra,1850
585,Gondovo,Levice,1470
586,Gôtovany,Liptovský Mikuláš,474
587,Gregorova Vieska,Lučenec,141
588,Gregorovce,Prešov,867
589,Gregorovce,Revúca,867
