"Obec, mesto, mestská časť",latitude,longitude
Dolná Mariková,49.12153,18.42169
Dolná Mičiná,48.67542,19.22235
Dolná Poruba,48.89452,18.04436
Dolná Seč,48.21563,18.60705
Dolná Streda,48.2,17.71667
Dolná Strehová,48.21058,19.35043
Dolná Súča,48.89452,18.04436
Dolná Tižina,49.21558,18.91566
Dolná Trnávka,48.59184,18.84958
Dolná Ves,48.59184,18.84958
Dolná Ždaňa,48.59184,18.84958
Dolné Dubové,48.49173,17.61018
Dolné Kočkovce,48.83333,18.25
Dolné Lefantovce,48.42492,18.12494
Dolné Lovčice,48.3665,17.67635
Dolné Mladonice,48.3554,19.06474
Dolné Naštice,48.83333,18.25
Dolné Obdokovce,48.31325,18.21048
Dolné Orešany,48.43966,17.42942
Dolné Otrokovce,48.43174,17.8031
Dolné Plachtince,48.21058,19.35043
Dolné Saliby,48.2,17.71667
Dolné Semerovce,48.21563,18.60705
Dolné Srnie,48.75466,17.83506
Dolné Strháre,48.21058,19.35043
Dolné Trhovište,48.43174,17.8031
Dolné Vestenice,48.76667,18.63333
Dolné Zahorany,48.38284,20.0224
Dolné Zelenice,48.43174,17.8031
Dolný Badín,48.3554,19.06474
Dolný Bar,47.99268,17.61211
Dolný Harmanec,48.73946,19.15349
Dolný Hričov,49.23192,18.63326
Dolný Chotár,48.2,17.71667
Dolný Kalník,49.06651,18.92399
Dolný Kubín,49.20983,19.30341
Dolný Lieskov,49.12153,18.42169
Dolný Lopašov,48.59479,17.82591
Dolný Ohaj,47.98333,18.16667
Dolný Pial,48.21563,18.60705
Dolný Štál,47.99268,17.61211
Dolný Vadičov,49.3,18.78333
Doľany,48.28986,17.26664
Doľany,49.02173,20.59212
Domadice,48.21563,18.60705
Domaníky,48.3554,19.06474
Domaniža,49.12153,18.42169
Domaňovce,49.02173,20.59212
Donovaly,48.73946,19.15349
Drábsko,48.80431,19.63631
Drahňov,48.75434,21.9195
Drahovce,48.59479,17.82591
Dravce,49.02173,20.59212
Dražice,48.38284,20.0224
Dražkovce,49.06651,18.92399
Drážovce,48.3554,19.06474
Drienčany,48.38284,20.0224
Drienica,49.10308,21.0988
Drienov,48.87318,21.27382
Drienovec,48.66667,21.33333
Drienovo,48.3554,19.06474
Drienovská Nová Ves,48.99839,21.23393
Drietoma,48.89452,18.04436
Drnava,48.66008,20.53758
Drňa,48.38284,20.0224
Družstevná pri Hornáde,48.66667,21.33333
Drženice,48.21563,18.60705
Držkovce,48.68346,20.11734
Dubinné,49.29175,21.27271
Dubnica nad Váhom,48.83333,18.25
Dubnička,48.83333,18.25
Dubník,47.98333,18.16667
Dubno,48.38284,20.0224
Dubodiel,48.89452,18.04436
Dubová,48.28986,17.26664
Dubová,49.30819,21.5703
Dubovany,48.59479,17.82591
Dubovce,48.8449,17.22635
Dubové,48.86226,18.86048
Dubové,48.57442,19.15324
Dubovec,48.38284,20.0224
Dubovica,49.10308,21.0988
Ducové,48.59479,17.82591
Dudince,48.3554,19.06474
Dukovce,49.30819,21.5703
Dulov,48.83333,18.25
Dulova Ves,48.95313,21.3061
Dulovce,47.76667,18.13333
Dulovo,48.38284,20.0224
Dunajská Lužná,48.21951,17.40043
Dunajov,49.43503,18.78895
Dunajská Streda,47.99268,17.61211
Dunajský Klátov,47.99268,17.61211
Duplín,49.20211,21.65216
Dúbrava,49.02173,20.59212
Dúbrava,49.08061,19.62218
Dúbrava,48.98857,22.15099
Dúbravica,48.67964,19.27292
Dúbravka,48.75434,21.9195
Dúbravy,48.56082,19.41954
Dvorany nad Nitrou,48.56362,18.16712
Dvorec,48.83333,18.25
Dvorianky,48.62858,21.71954
Dvorníky,48.43174,17.8031
Dvorníky-Včeláre,48.66667,21.33333
Dvory nad Žitavou,47.98333,18.16667
Ďačov,49.10308,21.0988
Ďanová,49.06651,18.92399
Ďapalovce,48.88836,21.68479
Ďubákovo,48.43094,19.79408
Ďurčiná,49.06367,18.65222
Ďurďoš,48.88836,21.68479
Ďurďošík,48.66667,21.33333
Ďurďové,49.12153,18.42169
Ďurkov,48.66667,21.33333
Ďurková,49.29859,20.6862
Ďurkovce,48.21058,19.35043
Egreš,48.62858,21.71954
Fačkov,49.22315,18.73941
Falkušovce,48.75434,21.9195
Farná,48.21563,18.60705
Fekišovce,48.74455,22.18136
Figa,48.38284,20.0224
Fijaš,49.30819,21.5703
Fiľakovo,48.33249,19.66708
Fiľakovské Kováče,48.33249,19.66708
Fintice,49.05188,21.28664
Folkušová,49.06651,18.92399
Forbasy,49.29859,20.6862
Frička,49.29175,21.27271
Fričkovce,49.29175,21.27271
Fričovce,49.0167,20.96302
Fulianka,49.064,21.33146
Gabčíkovo,47.99268,17.61211
Gaboltov,49.29175,21.27271
Gajary,48.43604,17.02188
Galanta,48.2,17.71667
Galovany,49.08061,19.62218
Gánovce,49.06144,20.29798
Gáň,48.2,17.71667
Gbelce,47.98333,18.16667
Gbely,48.8449,17.22635
Gbeľany,49.22315,18.73941
Geča,48.66667,21.33333
Gelnica,48.85584,20.93712
Gemer,48.68346,20.11734
Gemerček,48.38284,20.0224
Gemerská Hôrka,48.66008,20.53758
Gemerská Panica,48.66008,20.53758
Gemerská Poloma,48.66008,20.53758
Gemerská Ves,48.68346,20.11734
Gemerské Dechtáre,48.38284,20.0224
Gemerské Michalovce,48.38284,20.0224
Gemerské Teplice,48.68346,20.11734
Gemerský Jablonec,48.38284,20.0224
Gemerský Sad,48.68346,20.11734
Geraltov,49.1394,21.25865
Gerlachov,49.29175,21.27271
Gerlachov,49.06144,20.29798
Giglovce,48.88836,21.68479
Giraltovce,49.30819,21.5703
Girovce,48.88836,21.68479
Glabušovce,48.21058,19.35043
Gočaltovo,48.66008,20.53758
Gočovo,48.66008,20.53758
Golianovo,48.27189,18.19185
Gortva,48.38284,20.0224
Gôtovany,49.08061,19.62218
Granč-Petrovce,49.02173,20.59212
Gregorova Vieska,48.33249,19.66708
Gregorovce,49.06742,21.20763
Gribov,49.20211,21.65216
Gruzovce,48.93707,21.91625
Gyňov,48.66667,21.33333
Habovka,49.337,19.556
Habura,49.16667,21.25
Hačava,48.66667,21.33333
Háj,48.86226,18.86048
Háj,48.66667,21.33333
Hajná Nová Ves,48.56362,18.16712
Hajnáčka,48.38284,20.0224
Hájske,48.15127,17.88062
Hajtovka,49.29859,20.6862
Haláčovce,48.83333,18.25
Halič,48.33249,19.66708
Haligovce,49.29859,20.6862
Haluzice,48.75466,17.83506
Hamuliakovo,48.21951,17.40043
Handlová,48.76667,18.63333
Hanigovce,49.10308,21.0988
Haniska,48.95436,21.23893
