"Obec, mesto, mestská časť",region,province,latitude,longitude
Bodíky,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Bodiná,Považská Bystrica,Trenčiansky kraj,49.109745,18.5591768
Bodorová,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Bodovce,Sabinov,Prešovský kraj,49.10308,21.0988
Bodružal,Svidník,Prešovský kraj,49.30819,21.5703
Bodza,Komárno,Nitriansky kraj,47.76667,18.13333
Bodzianske Lúky,Komárno,Nitriansky kraj,47.76667,18.13333
Bogliarka,Bardejov,Prešovský kraj,49.29175,21.27271
Bohdanovce,Košice-okolie,Košický kraj,48.66667,21.33333
Bohdanovce nad Trnavou,Trnava,Trnavský kraj,48.42996,17.5447
Boheľov,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Bohunice,Ilava,Trenčiansky kraj,48.83333,18.25
Bohunice,Levice,Nitriansky kraj,48.21563,18.60705
Bohúňovo,Rožňava,Košický kraj,48.66008,20.53758
Bojná,Topoľčany,Nitriansky kraj,48.56362,18.16712
Bojnice,Prievidza,Trenčiansky kraj,48.76667,18.63333
Bojničky,Hlohovec,Trnavský kraj,48.43174,17.8031
Boldog,Senec,Bratislavský kraj,48.21951,17.40043
Boleráz,Trnava,Trnavský kraj,48.46808,17.49478
Bolešov,Ilava,Trenčiansky kraj,48.83333,18.25
Boliarov,Košice-okolie,Košický kraj,48.66667,21.33333
Boľ,Trebišov,Košický kraj,48.62858,21.71954
Boľkovce,Lučenec,Banskobystrický kraj,48.33249,19.66708
Borcová,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Borčany,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Borčice,Ilava,Trenčiansky kraj,48.83333,18.25
Borinka,Malacky,Bratislavský kraj,48.43604,17.02188
Borová,Trnava,Trnavský kraj,48.3872,17.44523
Borovce,Piešťany,Trnavský kraj,48.59479,17.82591
Borský Mikuláš,Senica,Trnavský kraj,48.67922,17.36697
Borský Svätý Jur,Senica,Trnavský kraj,48.67922,17.36697
Borša,Trebišov,Košický kraj,48.62858,21.71954
Bory,Levice,Nitriansky kraj,48.21563,18.60705
Bošáca,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Bošany,Partizánske,Trenčiansky kraj,48.83333,18.25
Bottovo,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Boťany,Trebišov,Košický kraj,48.62858,21.71954
Bôrka,Rožňava,Košický kraj,48.66008,20.53758
Bracovce,Michalovce,Košický kraj,48.75434,21.9195
Branč,Nitra,Nitriansky kraj,48.21869,18.14423
Branovo,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Bratislava I,Bratislava,Bratislavský kraj,48.14816,17.10674
Bratislava II,Bratislava,Bratislavský kraj,48.14816,17.10674
Bratislava III,Bratislava,Bratislavský kraj,48.14816,17.10674
Bratislava IV,Bratislava,Bratislavský kraj,48.14816,17.10674
Bratislava V,Bratislava,Bratislavský kraj,48.14816,17.10674
Braväcovo,Brezno,Banskobystrický kraj,48.80431,19.63631
Brdárka,Rožňava,Košický kraj,48.66008,20.53758
Brehov,Trebišov,Košický kraj,48.62858,21.71954
Brehy,Žarnovica,Banskobystrický kraj,48.48124,18.71565
Brekov,Humenné,Prešovský kraj,48.93707,21.91625
Brestov,Humenné,Prešovský kraj,48.93707,21.91625
Brestov,Prešov,Prešovský kraj,48.87117,21.35086
Brestov nad Laborcom,Medzilaborce,Prešovský kraj,49.16667,21.25
Brestovany,Trnava,Trnavský kraj,48.38826,17.68806
