"Obec, mesto, mestská časť",region,province,latitude,longitude
Ivančiná,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Ivanice,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Ivanka pri Dunaji,Senec,Bratislavský kraj,48.21951,17.40043
Ivanka pri Nitre,Nitra,Nitriansky kraj,48.24295,18.11618
Ivanovce,Trenčín,Trenčiansky kraj,48.89452,18.04436
Iža,Komárno,Nitriansky kraj,47.76667,18.13333
Ižipovce,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Ižkovce,Michalovce,Košický kraj,48.75434,21.9195
Jablonec,Pezinok,Bratislavský kraj,48.28986,17.26664
Jablonica,Senica,Trnavský kraj,48.67922,17.36697
Jablonka,Myjava,Trenčiansky kraj,48.75876,17.56866
Jablonov,Levoča,Prešovský kraj,49.02173,20.59212
Jablonov nad Turňou,Rožňava,Košický kraj,48.66008,20.53758
Jablonové,Malacky,Bratislavský kraj,48.43604,17.02188
Jablonové,Bytča,Žilinský kraj,49.22404,18.55878
Jabloň,Humenné,Prešovský kraj,48.93707,21.91625
Jabloňovce,Levice,Nitriansky kraj,48.21563,18.60705
Jacovce,Topoľčany,Nitriansky kraj,48.56362,18.16712
Jahodná,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Jaklovce,Gelnica,Košický kraj,48.85584,20.93712
Jakovany,Sabinov,Prešovský kraj,49.10308,21.0988
Jakubany,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Jakubov,Malacky,Bratislavský kraj,48.43604,17.02188
Jakubova Voľa,Sabinov,Prešovský kraj,49.10308,21.0988
Jakubovany,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Jakubovany,Sabinov,Prešovský kraj,49.10308,21.0988
Jakušovce,Stropkov,Prešovský kraj,49.20211,21.65216
Jalová,Snina,Prešovský kraj,48.98857,22.15099
Jalovec,Prievidza,Trenčiansky kraj,48.76667,18.63333
Jalovec,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Jalšové,Hlohovec,Trnavský kraj,48.43174,17.8031
Jalšovík,Krupina,Banskobystrický kraj,48.3554,19.06474
Jamník,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Jamník,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Janice,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Janík,Košice-okolie,Košický kraj,48.66667,21.33333
Janíky,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Jankovce,Humenné,Prešovský kraj,48.93707,21.91625
Janov,Prešov,Prešovský kraj,48.93891,21.17846
Janova Lehota,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Janovce,Bardejov,Prešovský kraj,49.29175,21.27271
Jánovce,Galanta,Trnavský kraj,48.2,17.71667
Jánovce,Poprad,Prešovský kraj,49.06144,20.29798
Janovík,Prešov,Prešovský kraj,48.83333,21.25
Jarabá,Brezno,Banskobystrický kraj,48.80431,19.63631
Jarabina,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Jarok,Nitra,Nitriansky kraj,48.27541,17.95913
Jarovnice,Sabinov,Prešovský kraj,49.10308,21.0988
Jasenica,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Jasenie,Brezno,Banskobystrický kraj,48.80431,19.63631
Jasenov,Humenné,Prešovský kraj,48.93707,21.91625
Jasenov,Sobrance,Košický kraj,48.74455,22.18136
Jasenová,Dolný Kubín,Žilinský kraj,49.20983,19.30341
Jasenovce,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Jasenové,Žilina,Žilinský kraj,49.11061,18.63648
Jasenovo,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Jaslovské Bohunice,Trnava,Trnavský kraj,48.47553,17.64736
Jasov,Košice-okolie,Košický kraj,48.66667,21.33333
Jasová,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Jastrabá,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Jastrabie nad Topľou,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Jastrabie pri Michalovciach,Michalovce,Košický kraj,48.75434,21.9195
Jatov,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Jazernica,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Jedlinka,Bardejov,Prešovský kraj,49.29175,21.27271
Jedľové Kostoľany,Zlaté Moravce,Nitriansky kraj,48.38553,18.40063
Jelenec,Nitra,Nitriansky kraj,48.37844,18.22351
Jelka,Galanta,Trnavský kraj,48.2,17.71667
Jelšava,Revúca,Banskobystrický kraj,48.68346,20.11734
Jelšovce,Nitra,Nitriansky kraj,48.38233,18.05795
Jelšovec,Lučenec,Banskobystrický kraj,48.33249,19.66708
Jenkovce,Sobrance,Košický kraj,48.74455,22.18136
Jesenské,Levice,Nitriansky kraj,48.21563,18.60705
Jesenské,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Jestice,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Ješkova Ves,Partizánske,Trenčiansky kraj,48.83333,18.25
Jezersko,Kežmarok,Prešovský kraj,49.1357,20.43352
Jovice,Rožňava,Košický kraj,48.66008,20.53758
Jovsa,Michalovce,Košický kraj,48.75434,21.9195
Jur nad Hronom,Levice,Nitriansky kraj,48.21563,18.60705
Jurkova Voľa,Svidník,Prešovský kraj,49.30819,21.5703
Jurová,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Jurské,Kežmarok,Prešovský kraj,49.1357,20.43352
Juskova Voľa,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Kačanov,Michalovce,Košický kraj,48.75434,21.9195
Kajal,Galanta,Trnavský kraj,48.2,17.71667
Kalameny,Ružomberok,Žilinský kraj,49.0748,19.30751
Kalinkovo,Senec,Bratislavský kraj,48.21951,17.40043
Kalinov,Medzilaborce,Prešovský kraj,49.16667,21.25
Kalinovo,Poltár,Banskobystrický kraj,48.43094,19.79408
Kalná nad Hronom,Levice,Nitriansky kraj,48.21563,18.60705
Kalná Roztoka,Snina,Prešovský kraj,48.98857,22.15099
Kálnica,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Kalnište,Svidník,Prešovský kraj,49.30819,21.5703
Kalonda,Lučenec,Banskobystrický kraj,48.33249,19.66708
Kalša,Košice-okolie,Košický kraj,48.66667,21.33333
Kaloša,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Kaluža,Michalovce,Košický kraj,48.75434,21.9195
Kaľamenová,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Kaľava,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Kamanová,Topoľčany,Nitriansky kraj,48.56362,18.16712
Kamenec pod Vtáčnikom,Prievidza,Trenčiansky kraj,48.76667,18.63333
Kamenica,Sabinov,Prešovský kraj,49.10308,21.0988
Kamenica nad Cirochou,Humenné,Prešovský kraj,48.93707,21.91625
Kamenica nad Hronom,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Kameničany,Ilava,Trenčiansky kraj,48.83333,18.25
Kameničná,Komárno,Nitriansky kraj,47.76667,18.13333
Kamenín,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Kamenná Poruba,Žilina,Žilinský kraj,49.09235,18.68842
Kamenná Poruba,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Kamenné Kosihy,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Kamenný Most,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Kameňany,Revúca,Banskobystrický kraj,48.68346,20.11734
Kamienka,Humenné,Prešovský kraj,48.93707,21.91625
Kamienka,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Kanianka,Prievidza,Trenčiansky kraj,48.76667,18.63333
Kapince,Nitra,Nitriansky kraj,48.30763,18.08453
Kapišová,Svidník,Prešovský kraj,49.30819,21.5703
Kaplna,Senec,Bratislavský kraj,48.21951,17.40043
Kapušany,Prešov,Prešovský kraj,49.04516,21.33352
Kapušianske Kľačany,Michalovce,Košický kraj,48.75434,21.9195
Karlová,Martin,Žilinský kraj,49.06651,18.92399
Karná,Humenné,Prešovský kraj,48.93707,21.91625
Kašov,Trebišov,Košický kraj,48.62858,21.71954
Kátlovce,Trnava,Trnavský kraj,48.3774,17.58723
Kátov,Skalica,Trnavský kraj,48.8449,17.22635
Kazimír,Trebišov,Košický kraj,48.62858,21.71954
Kecerovce,Košice-okolie,Košický kraj,48.66667,21.33333
Kecerovský Lipovec,Košice-okolie,Košický kraj,48.66667,21.33333
Kečkovce,Svidník,Prešovský kraj,49.30819,21.5703
Kečovo,Rožňava,Košický kraj,48.66008,20.53758
Kechnec,Košice-okolie,Košický kraj,48.66667,21.33333
Kendice,Prešov,Prešovský kraj,48.99839,21.23393
Kesovce,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Keť,Levice,Nitriansky kraj,48.21563,18.60705
Kežmarok,Kežmarok,Prešovský kraj,49.1357,20.43352
Kiarov,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Kladzany,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Klasov,Nitra,Nitriansky kraj,48.27625,18.25937
Kláštor pod Znievom,Martin,Žilinský kraj,49.06651,18.92399
Klátova Nová Ves,Partizánske,Trenčiansky kraj,48.83333,18.25
Klčov,Levoča,Prešovský kraj,49.02173,20.59212
Klenov,Prešov,Prešovský kraj,48.92667,21.05598
Klenová,Snina,Prešovský kraj,48.98857,22.15099
Klenovec,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Kleňany,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Klieština,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Klin,Námestovo,Žilinský kraj,49.4079,19.48032
Klin nad Bodrogom,Trebišov,Košický kraj,48.62858,21.71954
Klížska Nemá,Komárno,Nitriansky kraj,47.76667,18.13333
Klokoč,Detva,Banskobystrický kraj,48.56082,19.41954
Klokočov,Čadca,Žilinský kraj,49.43503,18.78895
Klokočov,Michalovce,Košický kraj,48.75434,21.9195
Klubina,Čadca,Žilinský kraj,49.43503,18.78895
Kluknava,Gelnica,Košický kraj,48.85584,20.93712
Kľačany,Hlohovec,Trnavský kraj,48.43174,17.8031
Kľače,Žilina,Žilinský kraj,49.10637,18.6485
Kľačno,Prievidza,Trenčiansky kraj,48.76667,18.63333
Kľak,Žarnovica,Banskobystrický kraj,48.48124,18.71565
Kľúčovec,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Kľušov,Bardejov,Prešovský kraj,49.29175,21.27271
Kmeťovo,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Kobeliarovo,Rožňava,Košický kraj,48.66008,20.53758
Kobylnice,Svidník,Prešovský kraj,49.30819,21.5703
Kobyly,Bardejov,Prešovský kraj,49.29175,21.27271
Koceľovce,Rožňava,Košický kraj,48.66008,20.53758
Kociha,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Kocurany,Prievidza,Trenčiansky kraj,48.76667,18.63333
Kočín-Lančár,Piešťany,Trnavský kraj,48.59479,17.82591
Kočovce,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Kochanovce,Bardejov,Prešovský kraj,49.29175,21.27271
Kochanovce,Humenné,Prešovský kraj,48.93707,21.91625
Kojatice,Prešov,Prešovský kraj,48.99814,21.13052
Kojšov,Gelnica,Košický kraj,48.85584,20.93712
Kokava nad Rimavicou,Poltár,Banskobystrický kraj,48.43094,19.79408
Kokošovce,Prešov,Prešovský kraj,48.94412,21.33512
Kokšov-Bakša,Košice-okolie,Košický kraj,48.66667,21.33333
Kolačkov,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Kolačno,Partizánske,Trenčiansky kraj,48.83333,18.25
Koláre,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Kolárovice,Bytča,Žilinský kraj,49.22404,18.55878
Kolárovo,Komárno,Nitriansky kraj,47.76667,18.13333
Kolbasov,Snina,Prešovský kraj,48.98857,22.15099
Kolbovce,Stropkov,Prešovský kraj,49.20211,21.65216
Kolibabovce,Sobrance,Košický kraj,48.74455,22.18136
Kolinovce,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Kolíňany,Nitra,Nitriansky kraj,48.36059,18.19693
Kolonica,Snina,Prešovský kraj,48.98857,22.15099
Kolta,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Komárany,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Komárno,Komárno,Nitriansky kraj,47.76667,18.13333
Komárov,Bardejov,Prešovský kraj,49.29175,21.27271
Komárovce,Košice-okolie,Košický kraj,48.66667,21.33333
Komjatice,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Komjatná,Ružomberok,Žilinský kraj,49.0748,19.30751
Komoča,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Koniarovce,Topoľčany,Nitriansky kraj,48.56362,18.16712
Konrádovce,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Konská,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Konská,Žilina,Žilinský kraj,49.11113,18.67812
Koňuš,Sobrance,Košický kraj,48.74455,22.18136
Kopčany,Skalica,Trnavský kraj,48.8449,17.22635
Kopernica,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Koplotovce,Hlohovec,Trnavský kraj,48.43174,17.8031
Koprivnica,Bardejov,Prešovský kraj,49.29175,21.27271
Kordíky,Banská Bystrica,Banskobystrický kraj,48.7718,19.02197
Korejovce,Svidník,Prešovský kraj,49.30819,21.5703
Korňa,Čadca,Žilinský kraj,49.43503,18.78895
Koromľa,Sobrance,Košický kraj,48.74455,22.18136
Korunková,Stropkov,Prešovský kraj,49.20211,21.65216
Korytárky,Detva,Banskobystrický kraj,48.56082,19.41954
Korytné,Levoča,Prešovský kraj,49.02173,20.59212
Kosihovce,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Kosihy nad Ipľom,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Kosorín,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Kostolec,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Kostolište,Malacky,Bratislavský kraj,48.43604,17.02188
Kostolná pri Dunaji,Senec,Bratislavský kraj,48.21951,17.40043
Kostolná Ves,Prievidza,Trenčiansky kraj,48.76667,18.63333
Kostolná-Záriečie,Trenčín,Trenčiansky kraj,48.89452,18.04436
Kostolné,Myjava,Trenčiansky kraj,48.75876,17.56866
Kostolné Kračany,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Kostoľany nad Hornádom,Košice-okolie,Košický kraj,48.66667,21.33333
Kostoľany pod Tribečom,Zlaté Moravce,Nitriansky kraj,48.38553,18.40063
Koš,Prievidza,Trenčiansky kraj,48.76667,18.63333
Košariská,Myjava,Trenčiansky kraj,48.75876,17.56866
Košarovce,Humenné,Prešovský kraj,48.93707,21.91625
Košeca,Ilava,Trenčiansky kraj,48.83333,18.25
Košecké Podhradie,Ilava,Trenčiansky kraj,48.83333,18.25
Košice I,Košice,Košický kraj,48.71395,21.25808
Košice II,Košice,Košický kraj,48.71395,21.25808
Košice III,Košice,Košický kraj,48.71395,21.25808
Košice IV,Košice,Košický kraj,48.71395,21.25808
Košická Belá,Košice-okolie,Košický kraj,48.66667,21.33333
Košická Polianka,Košice-okolie,Košický kraj,48.66667,21.33333
Košické Oľšany,Košice-okolie,Košický kraj,48.66667,21.33333
Košický Klečenov,Košice-okolie,Košický kraj,48.66667,21.33333
Koškovce,Humenné,Prešovský kraj,48.93707,21.91625
Košolná,Trnava,Trnavský kraj,48.42459,17.46476
Košúty,Galanta,Trnavský kraj,48.2,17.71667
Košťany nad Turcom,Martin,Žilinský kraj,49.06651,18.92399
Kotešová,Bytča,Žilinský kraj,49.22404,18.55878
Kotmanová,Lučenec,Banskobystrický kraj,48.33249,19.66708
Kotrčiná Lúčka,Žilina,Žilinský kraj,49.2503,18.83897
Kováčová,Zvolen,Banskobystrický kraj,48.57442,19.15324
Kováčová,Rožňava,Košický kraj,48.66008,20.53758
Kováčovce,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Koválov,Senica,Trnavský kraj,48.67922,17.36697
Koválovec,Skalica,Trnavský kraj,48.8449,17.22635
Kovarce,Topoľčany,Nitriansky kraj,48.56362,18.16712
Kozárovce,Levice,Nitriansky kraj,48.21563,18.60705
Kozelník,Banská Štiavnica,Banskobystrický kraj,48.44858,18.91003
Kozí Vrbovok,Krupina,Banskobystrický kraj,48.3554,19.06474
Kožany,Bardejov,Prešovský kraj,49.29175,21.27271
Kožuchov,Trebišov,Košický kraj,48.62858,21.71954
Kožuchovce,Stropkov,Prešovský kraj,49.20211,21.65216
Kračúnovce,Svidník,Prešovský kraj,49.30819,21.5703
Krahule,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Krajná Bystrá,Svidník,Prešovský kraj,49.30819,21.5703
Krajná Poľana,Svidník,Prešovský kraj,49.30819,21.5703
Krajná Porúbka,Svidník,Prešovský kraj,49.30819,21.5703
Krajné,Myjava,Trenčiansky kraj,48.75876,17.56866
Krajné Čierno,Svidník,Prešovský kraj,49.30819,21.5703
Krakovany,Piešťany,Trnavský kraj,48.59479,17.82591
Králiky,Banská Bystrica,Banskobystrický kraj,48.7348,19.03708
Kráľ,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Kráľov Brod,Galanta,Trnavský kraj,48.2,17.71667
Kráľova Lehota,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Kráľová nad Váhom,Šaľa,Nitriansky kraj,48.15127,17.88062
Kráľová pri Senci,Senec,Bratislavský kraj,48.21951,17.40043
Kraľovany,Dolný Kubín,Žilinský kraj,49.20983,19.30341
Kráľovce,Košice-okolie,Košický kraj,48.66667,21.33333
Kráľovce-Krnišov,Krupina,Banskobystrický kraj,48.3554,19.06474
Kráľovičove Kračany,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Kráľovský Chlmec,Trebišov,Košický kraj,48.62858,21.71954
Kraskovo,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Krásna Lúka,Sabinov,Prešovský kraj,49.10308,21.0988
Krásna Ves,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Krásno,Partizánske,Trenčiansky kraj,48.83333,18.25
Krásno nad Kysucou,Čadca,Žilinský kraj,49.43503,18.78895
Krásnohorská Dlhá Lúka,Rožňava,Košický kraj,48.66008,20.53758
Krásnohorské Podhradie,Rožňava,Košický kraj,48.66008,20.53758
Krásnovce,Michalovce,Košický kraj,48.75434,21.9195
Krásny Brod,Medzilaborce,Prešovský kraj,49.16667,21.25
Krasňany,Žilina,Žilinský kraj,49.21491,18.88718
Kravany,Poprad,Prešovský kraj,49.06144,20.29798
Kravany,Trebišov,Košický kraj,48.62858,21.71954
Kravany nad Dunajom,Komárno,Nitriansky kraj,47.76667,18.13333
Krčava,Sobrance,Košický kraj,48.74455,22.18136
Kremná,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Kremnica,Žiar nad Hronom,Banskobystrický kraj,48.70519,18.91834
Kremnické Bane,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Kristy,Sobrance,Košický kraj,48.74455,22.18136
Krišľovce,Stropkov,Prešovský kraj,49.20211,21.65216
Krišovská Liesková,Michalovce,Košický kraj,48.75434,21.9195
Krivá,Dolný Kubín,Žilinský kraj,49.20983,19.30341
Krivany,Sabinov,Prešovský kraj,49.10308,21.0988
Kriváň,Detva,Banskobystrický kraj,48.56082,19.41954
Krivé,Bardejov,Prešovský kraj,49.29175,21.27271
Krivoklát,Ilava,Trenčiansky kraj,48.83333,18.25
Krivosúd-Bodovka,Trenčín,Trenčiansky kraj,48.89452,18.04436
Kríže,Bardejov,Prešovský kraj,49.29175,21.27271
Krížová Ves,Kežmarok,Prešovský kraj,49.1357,20.43352
Krížovany,Prešov,Prešovský kraj,48.98149,21.0498
Križovany nad Dudváhom,Trnava,Trnavský kraj,48.3774,17.58723
Krná,Poltár,Banskobystrický kraj,48.43094,19.79408
Krnča,Topoľčany,Nitriansky kraj,48.56362,18.16712
Krokava,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Krompachy,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Krpeľany,Martin,Žilinský kraj,49.06651,18.92399
Krškany,Levice,Nitriansky kraj,48.21563,18.60705
Krtovce,Topoľčany,Nitriansky kraj,48.56362,18.16712
Kručov,Stropkov,Prešovský kraj,49.20211,21.65216
Krupina,Krupina,Banskobystrický kraj,48.3554,19.06474
Krušetnica,Námestovo,Žilinský kraj,49.4079,19.48032
Krušinec,Stropkov,Prešovský kraj,49.20211,21.65216
Krušovce,Topoľčany,Nitriansky kraj,48.56362,18.16712
Kružlov,Bardejov,Prešovský kraj,49.29175,21.27271
Kružlová,Svidník,Prešovský kraj,49.30819,21.5703
Kružná,Rožňava,Košický kraj,48.66008,20.53758
Kružno,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Kšinná,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Kubáňovo,Levice,Nitriansky kraj,48.21563,18.60705
Kučín,Bardejov,Prešovský kraj,49.29175,21.27271
Kučín,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Kuchyňa,Malacky,Bratislavský kraj,48.43604,17.02188
Kuklov,Senica,Trnavský kraj,48.67922,17.36697
Kuková,Svidník,Prešovský kraj,49.30819,21.5703
Kukučínov,Levice,Nitriansky kraj,48.21563,18.60705
Kunerad,Žilina,Žilinský kraj,49.09786,18.7131
Kunešov,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Kunova Teplica,Rožňava,Košický kraj,48.66008,20.53758
Kuraľany,Levice,Nitriansky kraj,48.21563,18.60705
Kurima,Bardejov,Prešovský kraj,49.29175,21.27271
Kurimany,Levoča,Prešovský kraj,49.02173,20.59212
Kurimka,Svidník,Prešovský kraj,49.30819,21.5703
Kurov,Bardejov,Prešovský kraj,49.29175,21.27271
Kusín,Michalovce,Košický kraj,48.75434,21.9195
Kútniky,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Kúty,Senica,Trnavský kraj,48.67922,17.36697
Kuzmice,Topoľčany,Nitriansky kraj,48.56362,18.16712
Kuzmice,Trebišov,Košický kraj,48.62858,21.71954
Kvačany,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Kvačany,Prešov,Prešovský kraj,48.94517,21.08654
Kvakovce,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Kvašov,Púchov,Trenčiansky kraj,48.83333,18.25
Kvetoslavov,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Kyjatice,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Kyjov,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Kynceľová,Banská Bystrica,Banskobystrický kraj,48.73946,19.15349
Kysak,Košice-okolie,Košický kraj,48.66667,21.33333
Kyselica,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Kysta,Trebišov,Košický kraj,48.62858,21.71954
Kysucké Nové Mesto,Kysucké Nové Mesto,Žilinský kraj,49.3,18.78333
Kysucký Lieskovec,Kysucké Nové Mesto,Žilinský kraj,49.3,18.78333
Láb,Malacky,Bratislavský kraj,48.43604,17.02188
Lackov,Krupina,Banskobystrický kraj,48.3554,19.06474
Lacková,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Lackovce,Humenné,Prešovský kraj,48.93707,21.91625
Lada,Prešov,Prešovský kraj,49.04346,21.35908
Ladce,Ilava,Trenčiansky kraj,48.83333,18.25
Ladice,Zlaté Moravce,Nitriansky kraj,48.38553,18.40063
Ladmovce,Trebišov,Košický kraj,48.62858,21.71954
Ladomerská Vieska,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Ladomirov,Snina,Prešovský kraj,48.98857,22.15099
Ladomirová,Svidník,Prešovský kraj,49.30819,21.5703
Ladzany,Krupina,Banskobystrický kraj,48.3554,19.06474
Lakšárska Nová Ves,Senica,Trnavský kraj,48.67922,17.36697
Lascov,Bardejov,Prešovský kraj,49.29175,21.27271
Laskár,Martin,Žilinský kraj,49.06651,18.92399
Lastomír,Michalovce,Košický kraj,48.75434,21.9195
Lastovce,Trebišov,Košický kraj,48.62858,21.71954
Laškovce,Michalovce,Košický kraj,48.75434,21.9195
Látky,Detva,Banskobystrický kraj,48.56082,19.41954
Lazany,Prievidza,Trenčiansky kraj,48.76667,18.63333
Lazisko,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Lazy pod Makytou,Púchov,Trenčiansky kraj,48.83333,18.25
Lažany,Prešov,Prešovský kraj,49.03596,21.09851
Lednica,Púchov,Trenčiansky kraj,48.83333,18.25
Lednické Rovne,Púchov,Trenčiansky kraj,48.83333,18.25
Legnava,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Lehnice,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Lehota,Nitra,Nitriansky kraj,48.31157,17.98948
Lehota nad Rimavicou,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Lehota pod Vtáčnikom,Prievidza,Trenčiansky kraj,48.76667,18.63333
Lehôtka,Lučenec,Banskobystrický kraj,48.33249,19.66708
Lehôtka pod Brehmi,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Lechnica,Kežmarok,Prešovský kraj,49.1357,20.43352
Lekárovce,Sobrance,Košický kraj,48.74455,22.18136
Leles,Trebišov,Košický kraj,48.62858,21.71954
Leľa,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Lemešany,Prešov,Prešovský kraj,48.84991,21.27113
Lenartov,Bardejov,Prešovský kraj,49.29175,21.27271
Lenartovce,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Lendak,Kežmarok,Prešovský kraj,49.1357,20.43352
Lenka,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Lentvora,Lučenec,Banskobystrický kraj,48.33249,19.66708
Leopoldov,Hlohovec,Trnavský kraj,48.43174,17.8031
Lesenice,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Lesíček,Prešov,Prešovský kraj,48.91811,21.38544
Lesné,Michalovce,Košický kraj,48.75434,21.9195
Lesnica,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Leštiny,Dolný Kubín,Žilinský kraj,49.20983,19.30341
Lešť (vojenský obvod),Zvolen,Banskobystrický kraj,48.57442,19.15324
Letanovce,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Letničie,Skalica,Trnavský kraj,48.8449,17.22635
Leváre,Revúca,Banskobystrický kraj,48.68346,20.11734
Levice,Levice,Nitriansky kraj,48.21563,18.60705
Levkuška,Revúca,Banskobystrický kraj,48.68346,20.11734
Levoča,Levoča,Prešovský kraj,49.02173,20.59212
Ležiachov,Martin,Žilinský kraj,49.06651,18.92399
Libichava,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Licince,Revúca,Banskobystrický kraj,48.68346,20.11734
Ličartovce,Prešov,Prešovský kraj,48.8761,21.2467
Liesek,Tvrdošín,Žilinský kraj,49.337,19.556
Lieskovany,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Lieskovec,Zvolen,Banskobystrický kraj,48.57442,19.15324
Lieskovec,Humenné,Prešovský kraj,48.93707,21.91625
Liešno,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Liešťany,Prievidza,Trenčiansky kraj,48.76667,18.63333
Lietava,Žilina,Žilinský kraj,49.16981,18.67509
Lietavská Lúčka,Žilina,Žilinský kraj,49.17315,18.71385
Lietavská Svinná-Babkov,Žilina,Žilinský kraj,49.15749,18.64092
Likavka,Ružomberok,Žilinský kraj,49.0748,19.30751
