,povodne_name,population
2395,Šútovo,512
2396,Šútovce,446
2397,Švábovce,1570
2398,Švedlár,2177
2399,Švošov,868
2400,Tachty,557
2401,Tajná,281
2402,Tajov,655
2403,Tarnov,406
2404,Tatranská Javorina,198
2405,Tašuľa,183
2406,Tehla,NaN
2407,Tekolďany,134
2408,Tekovská Breznica,1220
2409,Tekovské Lužany,2810
2410,Tekovské Nemce,1091
2411,Tekovský Hrádok,365
2412,Telgárt,1516
2413,Telince,427
2414,Temeš,217
2415,Teplička,NaN
2416,Teplička nad Váhom,4249
2417,Tepličky,297
2418,Teplý Vrch,278
2419,Terany,NaN
2420,Terchová,4076
2421,Teriakovce,820
2422,Terňa,1316
2423,Tesáre,719
2424,Tesárske Mlyňany,1754
2425,Tešedíkovo,3688
2426,Tibava,NaN
2427,Tichý Potok,322
2428,Timoradza,516
2429,Tisinec,483
2430,Tisovec,NaN
2431,Tlmače,3520
2432,Točnica,NaN
2433,Tokajík,98
2434,Tomášikovo,1687
2435,Tomášov,2599
2436,Tomášovce,NaN
2438,Topoľa,NaN
2439,Topoľčany,24785
2440,Topoľčianky,2642
2441,Topoľnica,794
2442,Topoľníky,3152
2443,Topoľovka,807
2444,Toporec,2006
2445,Tornaľa,7114
2446,Torysa,NaN
2447,Torysky,323
2448,Tovarné,986
2449,Tovarnianska Polianka,115
2450,Tovarníky,1506
2451,Tôň,720
2452,Trakovice,1565
2453,Trávnica,1043
2454,Trávnik,NaN
2455,Trebatice,1359
2456,Trebejov,205
2457,Trebeľovce,903
2458,Trebichava,43
2459,Trebišov,24649
2460,Trebostovo,592
2461,Trebušovce,182
2462,Trenč,539
2463,Trenčianska Teplá,4244
2464,Trenčianska Turná,3485
2465,Trenčianske Bohuslavice,928
2466,Trenčianske Jastrabie,1250
2467,Trenčianske Mitice,781
2468,Trenčianske Stankovce,3351
2469,Trenčianske Teplice,4162
2470,Trenčín,55383
2471,Trhová Hradská,2158
2472,Trhovište,2046
2473,Trnava,65033
2474,Trnavá Hora,1248
2475,Trnava pri Laborci,570
2476,Trnávka,NaN
2478,Trnkov,247
2479,Trnovec,NaN
2480,Trnovec nad Váhom,2703
2481,Trnovo,275
2482,Tročany,294
2483,Trpín,NaN
2484,Trstená,7360
2485,Trstená na Ostrove,573
2486,Trstené,222
2487,Trstené pri Hornáde,1559
2488,Trstice,3775
2489,Trstín,1439
2490,Trsťany,297
2491,Tŕnie,422
2492,Tuhár,344
2493,Tuhrina,490
2494,Tuchyňa,792
2495,Tulčík,1320
2496,Tupá,571
2497,Turá,204
2498,Turany,4278
2499,Turany nad Ondavou,366
2500,Turcovce,310
2501,Turček,NaN
2502,Turčianky,144
2503,Turčianska Štiavnička,940
2504,Turčianske Jaseno,410
2505,Turčianske Kľačany,989
2506,Turčianske Teplice,6330
2507,Turčiansky Ďur,172
2508,Turčiansky Peter,512
2509,Turčok,282
2510,Turecká,NaN
2511,Tureň,1161
2512,Turie,2036
2513,Turík,254
2514,Turnianska Nová Ves,321
2515,Turňa nad Bodvou,3646
2516,Turová,NaN
2517,Turzovka,7515
2518,Tušice,669
2519,Tušická Nová Ves,532
2520,Tužina,NaN
2521,Tvarožná,NaN
2522,Tvrdomestice,451
2523,Tvrdošín,9201
2524,Tvrdošovce,5082
2525,Ťapešovo,750
2526,Ubľa,773
2527,Úbrež,852
2528,Udavské,1221
2529,Udiča,2241
2530,Údol,369
2531,Uhliská,NaN
2532,Úhorná,139
2533,Uhorská Ves,500
2534,Uhorské,516
2535,Uhrovec,1514
2536,Uhrovské Podhradie,35
2537,Ulič,841
2538,Uličské Krivé,243
2539,Uloža,203
2540,Úľany nad Žitavou,1533
2541,Unín,NaN
2542,Uňatín,184
2543,Urmince,1409
2544,Utekáč,923
2545,Uzovce,539
2546,Uzovská Panica,824
2547,Uzovské Pekľany,483
2548,Uzovský Šalgov,632
2549,Vaďovce,726
2550,Vagrinec,121
2551,Váhovce,2095
2552,Vajkovce,964
2553,Valaliky,4583
2554,Valaská,3627
2555,Valaská Belá,2079
2556,Valaská Dubová,786
2557,Valaškovce (vojenský obvod),0
2558,Valča,1763
2559,Valentovce,44
2560,Valice,317
2561,Valkovce,206
2562,Vaľkovňa,437
2563,Vaniškovce,371
2564,Vápeník,38
2565,Varadka,228
2566,Varechovce,149
2567,Varhaňovce,1516
2568,Varín,3859
2569,Vasiľov,826
2570,Vavrečka,1581
2571,Vavrinec,NaN
2572,Vavrišovo,690
2573,Važec,2415
2574,Včelince,813
2575,Večelkov,228
2576,Vechec,3009
2577,Velčice,NaN
2578,Veličná,1338
2579,Velušovce,487
2580,Veľaty,820
2581,Veľká Čalomija,587
2582,Veľká Čausa,498
2583,Veľká Čierna,354
2584,Veľká Dolina,687
2585,Veľká Franková,330
2586,Veľká Hradná,749
2587,Veľká Ida,3867
2588,Veľká Lehota,1087
2589,Veľká Lesná,498
2590,Veľká Lodina,305
2591,Veľká Lomnica,4983
2592,Veľká Lúka,NaN
2593,Veľká Mača,2538
2594,Veľká nad Ipľom,921
2595,Veľká Paka,963
2596,Veľká Tŕňa,445
2597,Veľká Ves,441
2598,Veľká Ves nad Ipľom,395
2599,Veľké Bierovce,716
2600,Veľké Blahovo,1583
2601,Veľké Borové,46
2602,Veľké Dravce,708
2603,Veľké Držkovce,35
2604,Veľké Dvorany,736
2605,Veľké Dvorníky,1322
2606,Veľké Hoste,567
2607,Veľké Chlievany,501
2608,Veľké Chyndice,325
2609,Veľké Kapušany,8862
2610,Veľké Kosihy,950
2611,Veľké Kostoľany,2778
2612,Veľké Kozmálovce,698
2613,Veľké Kršteňany,598
2614,Veľké Leváre,3617
2615,Veľké Lovce,1838
2616,Veľké Ludince,1443
2617,Veľké Orvište,1068
2618,Veľké Ozorovce,755
2619,Veľké Pole,431
2620,Veľké Raškovce,295
2621,Veľké Revištia,524
2622,Veľké Ripňany,2042
2623,Veľké Rovné,3750
2624,Veľké Slemence,567
2625,Veľké Straciny,177
2626,Veľké Teriakovce,831
2627,Veľké Trakany,1439
2628,Veľké Turovce,759
2629,Veľké Uherce,2017
2630,Veľké Úľany,4689
2631,Veľké Vozokany,457
2632,Veľké Zálužie,4238
2633,Veľké Zlievce,503
2634,Veľkrop,245
2635,Veľký Biel,2850
2636,Veľký Blh,1182
2637,Veľký Cetín,1545
2638,Veľký Čepčín,252
2639,Veľký Ďur,1254
2640,Veľký Folkmar,903
2641,Veľký Grob,1368
2642,Veľký Horeš,1045
2643,Veľký Kamenec,756
2644,Veľký Klíž,907
2645,Veľký Krtíš,11755
2646,Veľký Kýr,2965
2647,Veľký Lapáš,1739
2648,Veľký Lipník,NaN
2649,Veľký Lom,162
2650,Veľký Meder,8612
2651,Veľký Slavkov,1462
2652,Veľký Slivník,326
2653,Veľký Šariš,6426
2654,Veľopolie,363
2655,Vernár,581
2656,Veselé,NaN
2657,Veterná Poruba,380
2658,Vidiná,1775
2659,Vieska,NaN
2661,Vieska nad Blhom,176
2662,Vieska nad Žitavou,458
2663,Vígľaš,1588
2664,Vígľašská Huta-Kalinka,318
2665,Vikartovce,1887
2666,Vinica,1778
2667,Viničky,493
2668,Viničné,2577
2669,Vinné,1895
2670,Vinodol,2005
2671,Vinohrady nad Váhom,1595
2672,Vinosady,1416
2673,Virt,303
2674,Vislanka,258
2675,Vislava,184
2676,Visolaje,965
2677,Višňov,245
2678,Višňové,NaN
2681,Vištuk,1357
2682,Vitanová,1341
2683,Vítkovce,592
2684,Víťaz,NaN
2685,Víťazovce,307
2686,Vlača,224
2687,Vladiča,66
2688,Vlachovo,806
2689,Vlachy,609
2690,Vlčany,3220
2691,Vlčkovce,1385
2692,Vlkanová,1318
2693,Vlkas,327
2694,Vlková,835
2695,Vlkovce,481
2696,Vlky,405
2697,Vlkyňa,391
2698,Voderady,NaN
2699,Vojany,897
2700,Vojčice,2172
2701,Vojka,496
2702,Vojka nad Dunajom,454
2703,Vojkovce,419
2704,Vojnatina,239
2705,Vojňany,307
2706,Vojtovce,102
2707,Volica,271
2708,Volkovce,1001
2709,Voľa,266
2710,Voznica,649
2711,Vozokany,NaN
2713,Vráble,8551
2714,Vrádište,828
2715,Vrakúň,2735
2716,Vranov nad Topľou,22245
2717,Vrbnica,1187
2718,Vrbov,1546
2719,Vrbovce,1491
2720,Vrbová nad Váhom,528
2721,Vrbové,5907
2722,Vrbovka,329
2723,Vrchteplá,263
2724,Vrícko,455
2725,Vršatské Podhradie,220
2726,Vrútky,7748
2727,Vtáčkovce,1196
2728,Výborná,1286
2729,Výčapy-Opatovce,2216
2730,Vydrany,1725
2731,Vydrná,303
2732,Vydrník,1265
2733,Vyhne,1167
2734,Východná,NaN
2735,Výrava,NaN
2736,Vysočany,NaN
2737,Vysoká,NaN
2739,Vysoká nad Kysucou,2620
2740,Vysoká nad Uhom,796
2741,Vysoká pri Morave,2301
2742,Vysoké Tatry,NaN
2743,Vyškovce,126
2744,Vyškovce nad Ipľom,652
2745,Vyšná Boca,101
2746,Vyšná Hutka,493
2747,Vyšná Jablonka,52
2748,Vyšná Jedľová,183
2749,Vyšná Kamenica,323
2750,Vyšná Myšľa,966
2751,Vyšná Olšava,640
2752,Vyšná Pisaná,68
2753,Vyšná Polianka,109
2754,Vyšná Rybnica,376
2755,Vyšná Sitnica,355
2756,Vyšná Slaná,463
2757,Vyšná Šebastová,1315
2758,Vyšná Voľa,393
2759,Vyšné Ladičkovce,185
2760,Vyšné nad Hronom,174
2761,Vyšné Nemecké,241
2762,Vyšné Remety,415
2763,Vyšné Repaše,89
2764,Vyšné Ružbachy,1438
2765,Vyšné Valice,264
2766,Vyšný Čaj,279
2767,Vyšný Hrabovec,186
2768,Vyšný Hrušov,505
2769,Vyšný Kazimír,187
2770,Vyšný Klátov,450
2771,Vyšný Komárnik,78
2772,Vyšný Kručov,156
2773,Vyšný Kubín,787
2774,Vyšný Medzev,513
2775,Vyšný Mirošov,598
2776,Vyšný Orlík,363
2777,Vyšný Skálnik,142
2778,Vyšný Slavkov,262
2779,Vyšný Tvarožec,121
2780,Vyšný Žipov,1147
2781,Zábiedovo,868
2782,Záborie,168
2783,Záborské,1003
2784,Zádiel,159
2785,Zádor,150
2786,Záhor,635
2787,Záhorce,653
2788,Záhorie (vojenský obvod),153
2789,Záhorská Ves,1870
2790,Záhradné,1059
2791,Zacharovce,382
2792,Zákamenné,5510
2793,Zákopčie,1759
2794,Zalaba,177
2795,Zálesie,NaN
2797,Zalužice,1173
2798,Zamarovce,1141
2799,Zámutov,3277
2800,Záriečie,NaN
2801,Záskalie,NaN
2802,Zatín,773
2803,Závada,NaN
2806,Závadka,NaN
2809,Závadka nad Hronom,2317
2810,Zavar,2230
2811,Závažná Poruba,1268
2812,Závod,NaN
2813,Zázrivá,NaN
2814,Zbehňov,360
2815,Zbehy,2249
2816,Zboj,294
2817,Zbojné,165
2818,Zborov,NaN
2819,Zborov nad Bystricou,2215
2820,Zbrojníky,508
2821,Zbudská Belá,116
2822,Zbudské Dlhé,761
2823,Zbudza,521
2824,Zbyňov,873
2825,Zeleneč,2576
2826,Zemianska Olča,2308
2827,Zemianske Kostoľany,1752
2828,Zemianske Podhradie,774
2829,Zemianske Sady,866
2830,Zemiansky Vrbovok,84
2831,Zemné,2152
2832,Zemplín,NaN
2833,Zemplínska Nová Ves,863
2834,Zemplínska Široká,953
2835,Zemplínska Teplica,1754
2836,Zemplínske Hámre,1261
2837,Zemplínske Hradište,1154
2838,Zemplínske Jastrabie,652
2839,Zemplínske Kopčany,470
2840,Zemplínsky Branč,508
2841,Zlatá Baňa,466
2842,Zlatá Idka,396
2843,Zlaté,774
2844,Zlaté Klasy,3516
2845,Zlaté Moravce,11375
2846,Zlatná na Ostrove,2364
2847,Zlatník,NaN
2848,Zlatníky,682
2849,Zlatno,NaN
2851,Zliechov,592
2852,Zohor,3380
2853,Zombor,145
2854,Zubák,NaN
2855,Zuberec,1835
2856,Zubné,353
2857,Zubrohlava,2359
2858,Zvolen,42167
2859,Zvolenská Slatina,2832
2860,Zvončín,864
2861,Žabokreky,1225
2862,Žabokreky nad Nitrou,1739
2863,Žakarovce,716
2864,Žakovce,907
2865,Žalobín,855
2866,Žarnov,NaN
2867,Žarnovica,6170
2868,Žaškov,1590
2869,Žbince,991
2870,Ždaňa,1416
2871,Ždiar,1378
2872,Žehňa,1270
2873,Žehra,2498
2874,Železná Breznica,550
2875,Železník,469
2876,Želiezovce,6746
2877,Želmanovce,331
2878,Želovce,1215
2879,Žemberovce,1264
2880,Žemliare,151
2881,Žiar,NaN
2883,Žiar nad Hronom,18852
2884,Žibritov,61
2885,Žihárec,1720
2886,Žikava,535
2887,Žilina,80727
2888,Žíp,277
2889,Žipov,303
2890,Žirany,1351
2891,Žitavany,1869
2892,Žitavce,396
2893,Žitná-Radiša,443
2894,Žlkovce,660
2895,Župčany,1690
2896,Župkov,NaN
