,povodne_name,population
599,Hanušovce nad Topľou,3782
600,Harakovce,58
601,Harhaj,268
602,Harichovce,1858
603,Harmanec,NaN
604,Hatalov,746
605,Hatné,631
606,Havaj,NaN
607,Havka,35
608,Havranec,13
609,Hažín,478
610,Hažín nad Cirochou,675
611,Hažlín,1097
612,Helcmanovce,1424
613,Heľpa,2550
614,Henckovce,420
615,Henclová,95
616,Hencovce,1340
617,Hendrichovce,255
618,Herľany,291
619,Hermanovce,1974
620,Hermanovce nad Topľou,694
621,Hertník,1043
622,Hervartov,517
623,Hiadeľ,525
624,Hincovce,238
625,Hladovka,NaN
626,Hlboké,940
627,Hlboké nad Váhom,936
628,Hliník nad Hronom,2812
629,Hlinné,1869
630,Hlivištia,375
631,Hlohovec,21301
632,Hniezdne,1445
633,Hnilčík,559
634,Hnilec,NaN
635,Hnojné,220
636,Hnúšťa,7411
637,Hodejov,1604
638,Hodejovec,178
639,Hodkovce,325
640,Hodruša-Hámre,2165
641,Hokovce,488
642,Holčíkovce,415
643,Holiare,483
644,Holice,NaN
645,Holíč,11156
646,Holiša,660
647,Holumnica,887
648,Honce,351
649,Hontianska Vrbica,603
650,Hontianske Moravce,844
651,Hontianske Nemce,1443
652,Hontianske Tesáre,911
653,Hontianske Trsťany,317
654,Horná Breznica,504
655,Horná Kráľová,1891
656,Horná Krupá,513
657,Horná Lehota,NaN
659,Horná Mariková,575
660,Horná Mičiná,628
661,Horná Poruba,1074
662,Horná Potôň,2112
663,Horná Seč,559
664,Horná Streda,1373
665,Horná Strehová,166
666,Horná Súča,3360
667,Horná Štubňa,1609
668,Horná Ves,NaN
670,Horná Ždaňa,537
671,Horné Dubové,385
672,Horné Hámre,660
673,Horné Chlebany,372
674,Horné Lefantovce,894
675,Horné Mladonice,188
676,Horné Mýto,923
677,Horné Naštice,491
678,Horné Obdokovce,1490
679,Horné Orešany,1939
680,Horné Otrokovce,855
681,Horné Plachtince,205
682,Horné Pršany,398
683,Horné Saliby,3282
684,Horné Semerovce,633
685,Horné Srnie,2749
686,Horné Strháre,257
687,Horné Štitáre,571
688,Horné Trhovište,605
689,Horné Turovce,567
690,Horné Vestenice,614
691,Horné Zahorany,119
692,Horné Zelenice,704
693,Horný Badín,180
694,Horný Bar,1231
695,Horný Hričov,789
696,Horný Kalník,189
697,Horný Lieskov,418
698,Horný Pial,260
699,Horný Tisovník,178
700,Horný Vadičov,1643
701,Horňa,337
702,Horňany,436
703,Horovce,NaN
705,Hoste,NaN
706,Hostice,1079
707,Hostie,1205
708,Hostišovce,244
709,Hostovice,279
710,Hosťová,389
711,Hosťovce,NaN
713,Hozelec,774
714,Hôrka,2077
715,Hôrka nad Váhom,766
716,Hôrky,NaN
717,Hrabičov,569
718,Hrabkov,686
719,Hrabová Roztoka,59
720,Hrabovčík,343
721,Hrabovec,511
722,Hrabovec nad Laborcom,512
723,Hrabovka,NaN
724,Hrabské,606
725,Hrabušice,2536
726,Hradisko,NaN
727,Hradište,NaN
729,Hradište pod Vrátnom,687
730,Hrádok,NaN
731,Hrachovište,705
732,Hrachovo,819
733,Hraničné,188
734,Hranovnica,3178
735,Hraň,1566
736,Hrašné,486
737,Hrašovík,379
738,Hrčeľ,1095
739,Hrhov,1051
740,Hriadky,419
741,Hričovské Podhradie,355
742,Hriňová,7415
743,Hrišovce,297
744,Hrkovce,291
745,Hrlica,70
746,Hrnčiarovce nad Parnou,2253
747,Hrnčiarska Ves,945
748,Hrnčiarske Zalužany,862
749,Hrochoť,1472
750,Hromoš,499
751,Hronec,NaN
752,Hronovce,1476
753,Hronsek,654
754,Hronská Breznica,253
755,Hronská Dúbrava,420
756,Hronské Kľačany,1401
757,Hronské Kosihy,696
758,Hronský Beňadik,1144
759,Hrubá Borša,1172
760,Hruboňovo,519
761,Hrubov,482
762,Hrubý Šúr,1033
763,Hrušov,NaN
765,Hrušovany,NaN
766,Hrušovo,176
767,Hruštín,3125
768,Hubice,624
769,Hubina,515
770,Hubošovce,532
771,Hubová,NaN
772,Hubovo,132
773,Hucín,937
774,Hudcovce,401
775,Hul,1197
776,Humenné,32834
777,Huncovce,3239
778,Hunkovce,340
779,Hurbanova Ves,414
780,Hurbanovo,7397
781,Husák,NaN
782,Husiná,557
783,Hutka,99
784,Huty,156
785,Hviezdoslavov,2155
786,Hvozdnica,1201
787,Hybe,1454
788,Hýľov,506
789,Chanava,705
790,Chlebnice,1618
791,Chlmec,NaN
792,Chľaba,696
793,Chmeľnica,993
794,Chmeľov,1036
795,Chmeľová,373
796,Chmeľovec,448
797,Chminianska Nová Ves,1306
798,Chminianske Jakubovany,2551
799,Chmiňany,1002
800,Choča,489
801,Chocholná-Velčice,1689
802,Choňkovce,514
803,Chorvátsky Grob,6328
804,Chorváty,99
805,Chotča,633
806,Chotín,1364
807,Chrabrany,797
808,Chrámec,457
809,Chrastince,212
810,Chrastné,614
811,Chrasť nad Hornádom,915
812,Chrenovec-Brusno,1380
813,Chropov,386
814,Chrťany,126
815,Chtelnica,2551
816,Chudá Lehota,221
817,Chvalová,199
818,Chvojnica,NaN
820,Chynorany,2726
821,Chyžné,420
822,Igram,581
823,Ihľany,1561
824,Ihráč,514
