"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Čierne Pole,Branislav Sijka,NEKA
Čierny Balog,František Budovec,NEKA
Čierny Brod,Pavel Nagy,NEKA
Čierny Potok,Svetlana Šufliarska,SMER-SD
Čifáre,Július Czapala,NEKA
Čiližská Radvaň,Erzsébet Janík,SMK-MKP
Čimhová,Daniela Tretinová,SMER-SD
Čirč,Michal Didik,NEKA
Číž,Peter Tóth,NEKA
Čižatice,Stanislav Matta,NEKA
Čoltovo,Ján Hubay,MOST - HÍD
Čremošné,Zuzana Chorváthová,SMER-SD
Čučma,Alexander Szőllős,NEKA
Čukalovce,Ľuboš Cima,NEKA
Ďačov,Anton Cuprák,SIEŤ
Dačov Lom,Štefan Škraban,SMER-SD
Daletice,Daniel Ščavnický,SMER-SD
Danišovce,Miroslav Výrostek,NEKA
Ďanová,Miroslav Ďanovský,NEKA
Ďapalovce,Ján Cmár,SMER-SD
Dargov,Ján Kiš,NEKA
Davidov,Jozef Vaľko,SMER-SD
Debraď,Adrianna Gergely Papp,SMK-MKP
Dedačov,Peter Pichoňský,SMER-SD
Dedina Mládeže,Gabriela Gönczölová,NEKA
Dedinka,Viera Belanová,SMER-SD
Dedinky,Milan Červenka,NEKA
Dechtice,Karol Zachar,SMER-SD
Dekýš,Jozef Bucha,"SMER-SD, SNS"
Demandice,Attila Kürthy,SaS
Demänovská Dolina,Ľubomíra Klepáčová,NEKA
Demjata,Vladislav Bašista,SMER-SD
Detrík,Ľubica Voľanská,SMER-SD
Detva,Ján Šufliarský,NEKA
Detvianska Huta,Jana Hrončeková,SMER-SD
Devičany,Dana Lančaričová,SNS
Devičie,Ján Baláž,"SMER-SD, Strana moderného Slovenska, SNS, SDKÚ-DS"
Dežerice,Ladislav Chudoba,SMER-SD
Diaková,Róbert Ivaška,SMER-SD
Diakovce,Kristína Jakócsová,NEKA
Diviacka Nová Ves,Ivan Kohút,NEKA
Diviaky nad Nitricou,Vladimír Pružinec,NEKA
Divín,Ján Koza,NEKA
Divina,Emil Molko,SZS
Divinka,Michal Krško,NEKA
Dlhá,Rudolf Braniša,SMER-SD
Dlhá nad Kysucou,Helena Dzurinová,"SMER-SD, SNS"
Dlhá nad Oravou,Ján Kamas,"SMER-SD, SIEŤ, SDKÚ-DS"
Dlhá nad Váhom,Pavol Tóth,NEKA
Dlhá Ves,Tomáš Novák,NEKA
Dlhé Klčovo,Andrej Kulik,NEKA
Dlhé nad Cirochou,Ján Kníž,SMER-SD
Dlhé Pole,Dana Veveričíková,"SMER-SD, SNS"
Dlhé Stráže,Zdena Jurčíková,"SMER-SD, SDKÚ-DS"
Dlhoňa,Jaroslav Sadiv,SMER-SD
Dlžín,František Adamec,NEKA
Dobrá,Mikuláš Csoma,SMER-SD
Dobrá Niva,Martin Krúdy,"SMER-SD, SDKÚ-DS"
Dobrá Voda,René Blanárik,SMER-SD
Dobroč,Miroslav Remeník,NEKA
Dobrohošť,Jozef Boráros,NEKA
Dobroslava,Vladimír Šlepecký,SDKÚ-DS
Dobšiná,Ján Slovák,NEKA
Dohňany,Milan Panáček,SMER-SD
Dojč,Slavomíra Melišová,SMER-SD
Doľany,Jozef Mruškovič,SMER-SD
Doľany,Štefan Kamenický,"SDKÚ-DS, KDH, SMER-SD"
Dolinka,Zsolt Régi,SMK-MKP
Dolná Breznica,Lukáš Pekara,NEKA
Dolná Krupá,Teofil Mihalovič,KDH
Dolná Lehota,Viera Hudíková,SMER-SD
Dolná Mariková,Peter Šujak,NEKA
Dolná Mičiná,Oto Hudec,NEKA
Dolná Poruba,Miroslav Kopčan,NEKA
Dolná Seč,Eugen Čornák,NEKA
Dolná Streda,Ľuboš Šúry,SMER-SD
Dolná Strehová,Dušan Mališ,SMER-SD
Dolná Súča,Rudolf Pleva,NEKA
Dolná Tižina,Ľubica Ďuricová,NEKA
Dolná Trnávka,Juraj Tesák,NEKA
Dolná Ves,Milan Pračko,SMER-SD
Dolná Ždaňa,Andrea Murgašová,SMER-SD
Dolné Kočkovce,Peter Regina,SDS
Dolné Lefantovce,Miloslav Krajčík,SMER-SD
Dolné Lovčice,František Juriš,SMER-SD
Dolné Mladonice,Adam Alakša,NEKA
Dolné Naštice,Marian Petreje,SMER-SD
Dolné Obdokovce,Marián Paulisz,NEKA
Dolné Orešany,Juliana Belicová,NEKA
Dolné Otrokovce,Ján Maršala,NEKA
Dolné Plachtince,Cyril Bartók,"SDKÚ-DS, SIEŤ"
Dolné Saliby,Ľudovít Kovács,SMK-MKP
Dolné Semerovce,Vendelín Baláž,NEKA
Dolné Srnie,Miroslav Skovajsa,SMER-SD
Dolné Strháre,Gabriela Hudecová,SIEŤ
Dolné Trhovište,Jaroslav Mrváň,SMER-SD
Dolné Vestenice,Kvetoslava Šimorová,SIEŤ
Dolné Zahorany,Agneša Krahulcová,MOST - HÍD
Dolné Zelenice,Dagmar Jakubcová,NEKA
Dolný Badín,Mária Jaďuďová,"SMER-SD, Strana moderného Slovenska, SNS, SDKÚ-DS"
Dolný Bar,Oskár Bereczk,"MOST - HÍD, SMK-MKP, SMER-SD"
Dolný Harmanec,Alena Necpalová,SMER-SD
Dolný Hričov,Peter Zelník,NEKA
Dolný Chotár,František Dora,MOST - HÍD
Dolný Kalník,Iveta Balšianková,NEKA
Dolný Kubín,Roman Matejov,NEKA
Dolný Lieskov,Ján Križan,NEKA
Dolný Lopašov,Jozef Petušík,SZS
Dolný Ohaj,Ivan Solár,"KDH, SNS, SMER-SD"
Dolný Pial,Róbert Potocký,SMER-SD
Dolný Štál,Tomáš Horváth,NEKA
Dolný Vadičov,Miroslava Ondreášová,SMER-SD
Domadice,Marian Berkeš,NEKA
Domaníky,Mária Mozolová,KDH
Domaniža,František Matušík,"SMER-SD, SNS, SZ, SDKÚ-DS"
Domaňovce,Martina Bednárová,NEKA
Donovaly,Miroslav Daňo,NEKA
Drábsko,Martina Grgačová Kocová,NEKA
Drahňov,Tibor Jasovský,NEKA
Drahovce,Juraj Klein,SMER-SD
Dravce,Peter Faltin,"KDH, NOVA, Strana moderného Slovenska"
Dražice,Krisztián Kovács,"SMK-MKP, MOST - HÍD"
Dražkovce,Viera Šalagová,NEKA
Drážovce,Renáta Mrázová,SMER-SD
Drienčany,Peter Švoňava,NEKA
Drienica,Igor Birčák,SMER-SD
Drienov,Peter Tomko,NEKA
Drienovec,Tibor Kočiš,NEKA
Drienovo,Ivana Drígeľová,SMER-SD
Drienovská Nová Ves,Ján Brozman,"SDKÚ-DS, KDH"
Drietoma,Jozef Kluka,NEKA
Drňa,Endre Vincze,MOST - HÍD
Drnava,Tibor Balázs,NEKA
Družstevná pri Hornáde,Ján Juhás,"KDH, NOVA, SDKÚ-DS, SIEŤ"
Drženice,Slavomír Baláž,SMER-SD
Držkovce,Mária Duszová,MOST - HÍD
Ďubákovo,Miroslav Škrabák,PRÁVO A SPRAVODLIVOSŤ
Dubinné,Milan Hudák,NEKA
Dubnica nad Váhom,Jozef Gašparík,NEKA
Dubnička,Jozef Petrek,SMER-SD
Dubník,Jozef Ostrodický,NEKA
Dubodiel,Anton Prechádzka,NEKA
Dubová,Ľudovít Ružička,"SNS, SMER-SD"
Dubová,Miloš Vaňušaník,"SMER-SD, SDKÚ-DS"
Dubovany,Miroslav Michalčík,NEKA
Dubovce,Dana Dorothea Mikulová,NEKA
Dubové,Ľubomír Lettrich,"SMER-SD, SNS"
Dubové,Anna Janovicová,SMER-SD
Dubovec,Annamária Gotlíbetová,SMK-MKP
Dubovica,Ladislav Timčo,SMER-SD
Dúbrava,Vladimír Janičina,NEKA
Dúbrava,František Šimon,"SNS, SIEŤ"
Dúbrava,Ondrej Hovančík,NEKA
Dúbravica,Janka Slobodníková,SMER-SD
Dúbravka,Miroslav Eľko,SMER-SD
Dúbravy,Elena Grňová,NEKA
Ducové,Mária Koláriková,SMER-SD
Dudince,Dušan Strieborný,"SMER-SD, SNS"
Dukovce,Jozef Bodnár,SMER-SD
Dulov,Jozef Šamaj,NEKA
Dulova Ves,Barbora Ježiková,NEKA
Dulovce,Štefan Caletka,SMER-SD
Dulovo,Katarína Balážová,SDKÚ-DS
Dunajov,Milada Chlastáková,NEKA
Dunajská Lužná,Štefan Jurčík,NEKA
Dunajská Streda,Zoltán Hájos,SMK-MKP
Dunajský Klátov,Mária Csibová,"MOST - HÍD, SMK-MKP"
Duplín,Jozef Potoma,"SDKÚ-DS, KDH, NOVA, SIEŤ"
Ďurčiná,Ján Čerňan,SMER-SD
Ďurďoš,Emília Marcinková,SMER-SD
Ďurďošík,Iveta Hadašová,KDH
Ďurďové,Anton Ondrásky,NEKA
Ďurkov,Ondrej Valik,NEKA
Ďurková,Ján Kuruc,SMER-SD
Ďurkovce,Eva Egryová,"SMK-MKP, MOST - HÍD"
Dvorany nad Nitrou,František Košecký,NEKA
Dvorec,Eva Srncová,SMER-SD
Dvorianky,Andrej Marcin,SMER-SD
Dvorníky,Ľuboš Gubáň,"SMER-SD, KDH, SNS"
Dvorníky-Včeláre,Csaba Simkó,SMK-MKP
Dvory nad Žitavou,Branislav Becík,NEKA
Egreš,Gabriela Timková,"SMER-SD, KDH"
Fačkov,Miroslav Čerňanec,KDH
Falkušovce,Michal Bodnár,SMER-SD
Farná,Vlasta Csomorová,SMK-MKP
Fekišovce,Miloslava Fedorová,SMER-SD
Figa,Imrich Palmont,MOST - HÍD
Fijaš,Jana Tchuriková,SMER-SD
Fiľakovo,Attila Agócs,NEKA
Fiľakovské Kováče,Oto Agócs,MOST - HÍD
Fintice,Terézia Gmitrová,NEKA
Folkušová,Milan Sopóci,NEKA
Forbasy,Július Vyrostek,"KDH, SIEŤ"
Frička,Jozef Kačurik,PRÁVO A SPRAVODLIVOSŤ
Fričkovce,Matej Straka,SMER-SD
Fričovce,Ján Mikula,"KDH, SIEŤ"
Fulianka,Miroslav Leško,SMER-SD
