"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Šípkové,Janka Miškufová,SMER-SD
Šterusy,Štefan Madunický,NEKA
Trebatice,Juraj Valo,NEKA
Veľké Kostoľany,Gilbert Liška,NEKA
Veľké Orvište,Pavol Paulovič,NEKA
Veselé,Viera Šipková,NEKA
Vrbové,Ema Maggiová,NEKA
Bílkove Humence,Rastislav Nemečkay,SMER-SD
Borský Mikuláš,Róbert Macek,NEKA
Borský Svätý Jur,Anna Kratochvílová,NEKA
Cerová,Ján Čerešník,NEKA
Čáry,Martin Královič,NEKA
Častkov,Eva Černeková,NEKA
Dojč,Slavomíra Melišová,NEKA
Hlboké,Miloš Čobrda,NEKA
Hradište pod Vrátnom,Lukáš Piroha,NEKA
Jablonica,Silvester Nestarec,NEKA
Koválov,Pavol Kuba,KDH
Kuklov,Dušan Hric,NEKA
Kúty,Branislav Vávra,NEKA
Lakšárska Nová Ves,Oľga Procházková,SNS
Moravský Svätý Ján,Anton Emrich,NEKA
Osuské,Anton Fiala,NEKA
Plavecký Peter,Jozefína Bartoňová,NEKA
Podbranč,Milan Kadlíček,NEKA
Prietrž,Dana Blažková,DOMA DOBRE
Prievaly,Tatiana Beňáková,NEKA
Rohov,Roman Ravas,NEKA
Rovensko,Marian Rehuš,NEKA
Rybky,Henrich Ravas,NEKA
Sekule,Adrian Krajčír,NEKA
Senica,Martin Džačovský,NEKA
Smolinské,Vladimír Smolinský,NEKA
Smrdáky,Ingrid Tripšanská,KDH
Sobotište,Dušan Horňák,NEKA
Šajdíkove Humence,Pavol Burda,SDKÚ-DS
Šaštín - Stráže,Jaroslav Suchánek,NEKA
Štefanov,František Chudý,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), SaS"
Brodské,Anna Krídlová,NEKA
Dubovce,Dana Dorothea Mikulová,NEKA
Gbely,Jozef Hazlinger,NEKA
Holíč,Zdenko Čambal,NEKA
Chropov,Renáta Zdražilová,NEKA
Kátov,Ivana Chrenková,NEKA
Kopčany,Dušan Dubecký,NEKA
Koválovec,Patrik Renováček,NEKA
Letničie,Marián Dvorský,"SMER-SD, SNS, MOST - HÍD"
Lopašov,Marián Bederka,NEKA
Mokrý Háj,Peter Pobuda,NEKA
Oreské,Tomáš Mikuš,SNS
Petrova Ves,Štefan Beňa,"SMER-SD, SNS, MOST - HÍD"
Popudinské Močidľany,Dana Žúrková,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), KDH, NOVA"
Prietržka,Peter Flamík,NEKA
Radimov,Kristína Biskupičová,NEKA
Radošovce,Vladimír Kočárik,NEKA
Skalica,Anna Mierna,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), SaS, NOVA"
Trnovec,Jozef Kotvan,KDH
Unín,Ján Palkovič,NEKA
Vrádište,Milan Kováč,NEKA
Bojničky,Igor Bojnanský,SMER-SD
Červeník,Marián Mihálik,SMER-SD
Dolné Otrokovce,Ján Maršala,NEKA
Dolné Trhovište,Stanislava Zacharová,KDH
Dolné Zelenice,Dagmar Jakubcová,SMER-SD
Dvorníky,Maroš Nemeček,NEKA
Hlohovec,Miroslav Kollár,NEKA
Horné Otrokovce,Eva Kukučková,SMER-SD
Horné Trhovište,Tibor Veľký,"SMER-SD, SNS"
Horné Zelenice,Viera Darivčaková,SPOLU
Jalšové,Marián Paulovič,NEKA
Kľačany,Emília Cvíčelová,NEKA
Koplotovce,Jozef Števik,KDH
Leopoldov,Terézia Kavuliaková,NEKA
Madunice,Alena Jelušová,NEKA
Merašice,Stanislav Michal,"SMER-SD, SNS"
Pastuchov,Daniel Tejkal,SMER-SD
Ratkovce,Martin Červenka,NEKA
Sasinkovo,Jana Ešmírová,NEKA
Siladice,Róbert Repka,NEKA
Tekolďany,Alena Rolincová,SMER-SD
Tepličky,Michal Kolena,"SMER-SD, SNS"
Trakovice,Ľudovít Tolarovič,NEKA
Žlkovce,Jozef Daniška,NEKA
Biely Kostol,Iveta Paulová,NEKA
Bíňovce,Marián Novák,NEKA
Bohdanovce nad Trnavou,Miroslav Sučák,NEKA
Boleráz,Pavol Mackovčín,NEKA
Borová,Blanka Matovičová,NEKA
Brestovany,Ondrej Kuhajda,NEKA
Bučany,Rastislav Kurinec,NEKA
Buková,Miloš Herceg,SMER-SD
Cífer,Maroš Sagan,NEKA
Dechtice,Karol Zachar,SMER-SD
Dlhá,Peter Fandl,NEKA
Dobrá Voda,René Blanárik,SMER-SD
Dolná Krupá,Marek Dekan,NEKA
Dolné Dubové,Jozef Čapkovič,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), SaS"
Dolné Lovčice,Tomáš Bartovič,"SMER-SD, SNS"
Dolné Orešany,Juliana Belicová,NEKA
Horná Krupá,Ľuboš Hačko,SPOLU
Horné Dubové,Ján Hrčka,NEKA
Horné Orešany,Jarmila Petrovičová,NEKA
Hrnčiarovce nad Parnou,Jaroslav Kráľovič,NEKA
Jaslovské Bohunice,Božena Krajčovičová,NEKA
